LOC,FREQ,LAT,LON
France,328,45.99999986,1.999998463
Paris,301,48.853408154,2.348798511
Afrique,165,7.188099945,21.093748124
Chine,153,34.999996976,104.999998462
Europe,108,48.69095907,9.140617319
Soudan,105,17.99999702,-1.999998086
Angleterre,104,52.160448194,-0.703118668
Article,100,38.766675729,-121.226656166
Cap,79,49.64443796,5.984439892
Pageno,70,2.525249216,31.564458475
Redon,70,47.649998942,-2.083326192
Madagascar,69,-19.999999441,46.999996759
porte,64,44.887136113,7.26981833
—,61,,
Pretoria,61,-25.744855655,28.18782761
Mahdi,59,37.156097649,42.68175695
Tchad,58,14.999996234,18.999998419
Angelo,57,43.970796927,-90.777907623
Ie,57,33.751389275,132.701389799
Seine,54,49.43471607,0.117496012
Pays,53,48.853408154,2.348798511
Niger,52,17.99999702,8.999995798
Congo,51,-0.99999896,14.99999737
Ton,49,46.265309817,11.087977015
Pilouface,48,48.689177228,2.376156083
Ik,47,54.606597628,53.25829791
A,45,,
Yvon,45,18.383327004,-73.066669281
Portugal,44,39.499998156,-7.999999659
Japon,42,35.685358159,139.753087546
El,42,27.96203651,86.933696627
mer,41,47.705546513,1.506207781
Rabah,41,13.121327443,5.507405723
Asie,41,29.840637807,89.296877923
Li,40,11.333325607,-2.366666049
Makouta,39,36.78566802,4.06272792
Espagne,37,39.999998287,-3.99999861
Grande,36,36.670577233,-103.774405842
Tire-Lire,35,43.604466434,1.440527109
Navar,33,38.936099195,44.230996474
Rita,33,30.686859715,-96.608859197
Londres,32,51.508528044,-0.125738904
Nil,32,30.166669876,31.099996191
Marthe,32,47.327409068,11.200179058
Russie,32,59.999999029,99.999997151
Nord,32,13.588089024,-2.42119671
place,32,18.499997151,-73.399999702
Tor,32,28.236377166,33.625397092
Ia,32,42.000268787,-93.500485527
Tile,31,39.965346862,-81.998466692
E,31,,
Fran,31,20.136236455,-100.2938387
Cormoran,30,-21.044257776,55.238999647
Djaya,30,5.525438986,-4.030168433
Lestang,30,-2.666669064,104.033326742
Sahara,30,25.999999117,12.999996846
Ladysmith,30,48.982915662,-123.819375594
Cuba,29,21.999998069,-79.499995901
Sud,29,2.499997457,11.749998768
Cecile,29,,
Transvaal,28,15.533329407,-89.799995901
Cronje,27,52.39444993,4.638685811
Requin,27,43.25764621,-8.234788824
Djaya-Wanara,27,,
Marne,27,34.00556722,-117.906445794
Pekin,26,,
Amerique,26,,
Chari,26,-11.012469975,14.298599611
Riry,26,30.082729824,31.212819179
San,26,32.730069905,-117.195139914
Aisne,24,50.355496362,5.565918531
Cachalot,24,36.53300644,-6.294605992
Yegor,24,,
Qa,24,-7.262079777,112.749597779
Java,23,-7.491667404,110.004436379
Indes,22,22.810785621,86.154586264
Siberie,22,,
Oise,22,48.987689738,2.071609608
Rabardy,22,44.924217322,0.669417036
«,22,,
Gouros,22,14.551296051,121.026469307
Maroc,21,31.99999619,-4.999998872
Dahomey,21,19.199995535,-72.283329293
Image,20,45.609007055,-122.582039392
Jean,20,,
Bouddha,20,34.018395582,35.649389487
Port-Breton,20,10.475557723,119.247219194
Sa,20,-29.999997562,134.999997326
Ceylan,20,23.981739213,-99.140717025
Versailles,20,48.80341759,2.125519324
Tonkin,20,39.939087192,-116.411457956
Lasardine,19,41.883346663,-87.653195903
Boulogne,19,48.833326436,2.249996278
Mississipi,19,32.7504081,-89.750356306
Perse,19,56.633325781,25.399996497
Nantes,19,47.217249843,-1.55335872
Bouka,19,11.133327354,-10.76666915
Industrie,18,18.041118871,-63.069717389
Tune,18,55.595276895,12.183188828
Dawson-City,18,64.06251753,-139.42628567
Biscarosse,18,44.394537825,-1.167207486
Saint-Joseph,18,39.76860632,-94.846626574
Gilberte,18,50.609278342,4.134766528
Marseille,18,43.296945723,5.381065934
Melun,18,48.533329057,2.666668304
Orient,18,45.467337127,-122.352586753
Lapieuvre,18,19.683329145,-72.599997692
K,18,,
Republique,18,,
Oudjda,17,34.680516326,-1.907639282
Leon,17,21.121307042,-101.668007759
Mozambique,17,-18.249996732,34.999998113
Tunis,17,36.818969565,10.165788348
He,17,55.833328271,13.649995667
*,17,,
Vouga,17,14.816669002,-15.666666835
Algerie,17,,
Allemagne,17,51.499996802,10.499996191
Australie,16,-24.999996252,134.999997326
Placide,16,14.549995666,-60.866667883
Omdourman,16,15.64452804,32.477728934
Cochinchine,16,43.256867779,5.394105777
Toby,16,41.081729296,-79.547547681
Boa-Vista,16,2.819716586,-60.673329039
Eldorado,16,-26.408416272,-54.694628577
Duch,16,41.621046939,0.618256576
Creusot,16,46.807138236,4.416315544
Samory,16,31.040109868,31.374876798
Rosalie,15,33.476499668,-95.178278644
Mexique,15,22.999998331,-101.999997299
Hong-Kong,15,22.285515732,114.157689328
Si-Kiang,15,22.799995579,113.049995622
Sanglapee,15,-0.883328814,102.333328096
Louka,15,48.915169674,17.489266478
Rome,15,41.894739652,12.483897144
Morgenstern,15,54.599996714,9.03332884
Pilou,15,-20.29999682,164.266669263
Saint-Quentin,15,49.848886318,3.287568207
Cap-Vert,15,15.999996496,-23.999999353
Serbie,15,44.818917666,20.459979363
Italie,15,42.833329363,12.833327136
Type,14,30.444367233,-97.355266462
Canada,14,60.108668886,-113.642579161
Zanzibar,14,-6.163938723,39.197927598
route,14,7.107615587,17.35750917
Napoleon,14,,
Saint-Germain,14,48.89999702,2.083326568
Imp,14,-22.719459122,-47.642975825
Saigon,14,10.74999737,106.666668565
Beauvais,14,49.433325694,2.083326568
Karthoum,14,13.357808458,12.318689804
Belgique,14,50.83332696,3.999998987
Montbrun,14,44.505628467,1.900719273
Chinois,14,-32.928288212,151.770108182
Bonaparte,14,-6.14999896,-75.9333289
Dicka,14,28.12307722,84.668039677
Bandama,14,7.559168517,-12.231109199
Empire,14,37.638256863,-120.902149462
Est,14,12.06307985,0.363489183
Etaient,13,47.150876233,27.584525646
Angad,13,17.584899855,120.62569887
Bo,13,7.96471753,-11.738326428
Spionkop,13,51.178518329,2.798988062
Andree,13,45.728286971,-93.223827577
Canton,13,23.116668478,113.249998374
Tananarive,13,-18.913678839,47.536128683
Cognac,13,45.699997981,-0.333327983
Abomey,13,7.18285791,1.991188245
Bretagne,13,45.987059008,-1.310407279
Klondike,13,64.050859065,-139.441966778
Guinde,13,8.066669483,-8.466666748
Suisse,13,47.000157608,8.014268269
Alpes,13,46.416667385,9.99999606
Meoko,12,-4.230968751,152.459208532
Sonde,12,9.766668128,1.266667037
Champagne,12,48.021845945,0.33095707
Recreations,12,6.586516828,3.974589742
Trocadero,12,41.255476878,-95.932348729
It,12,-22.117057078,-51.395359347
Tugela,12,-30.670636051,26.97459577
Staient,12,40.409425955,-3.698606355
New-York,12,40.714269404,-74.005969929
Lamboun,12,51.508046587,-1.5310497
Papoua,12,-4.016666268,-44.23332689
Roumanie,12,45.99999986,24.999999991
Bali,12,22.648588514,88.341149233
Piloufaee,12,,
Tombouctou,12,16.773477859,-3.00741819
Sumatra,12,-3.19799954696e-06,101.999997675
Strea,12,50.280775993,4.293939903
Me,12,45.5003192,-69.249765985
Lyon,12,45.748458681,4.846706852
Ja,12,26.19750909,127.676276217
Havre,12,49.493795828,0.107668884
Tun,12,46.751176702,7.621655609
Hollande,11,50.649999728,3.683326088
Ataient,11,,
Alger,11,36.752496963,3.041966501
Tunisie,11,33.999996714,8.999995798
Depart,11,48.842307639,2.323087792
Chili,11,-29.999997562,-70.999998173
Viera,11,22.949998768,-82.599995814
Tien-Tsin,11,57.699438676,11.978798965
Be,11,13.532599948,-5.728497727
Toi,11,9.28319953,31.592499987
Isaac,11,36.694317126,-76.965519305
Saint-Denis,11,-20.882308147,55.450399888
Saint-Pierre,11,46.780905564,-56.171959981
Luxembourg,11,49.749998593,6.166669221
Philippines,11,12.99999571,121.999998418
Tidikelt,11,26.999999379,1.499998332
Maragano,11,12.532496195,125.207696274
Vaientia,11,55.719447876,21.119836809
Guyane,11,4.999998113,-58.999999527
Finlande,11,63.999995578,25.999995754
Trocaddro,11,,
Papouas,11,,
Anvers,11,51.219887658,4.403455685
Midi,11,2.799288399,20.883567275
Angola,11,-12.499997475,18.499998288
Basmarof,11,21.542307683,39.196478726
Afghanistan,10,32.999996452,65.999997239
Ango,10,-10.690559541,-76.696389187
Tire-,10,38.088765886,27.735077786
Tou,10,11.266668522,-9.849996994
Youkon,10,-30.049637157,-51.228046194
Lorraine,10,45.683376456,-73.782488261
Boers,10,45.327345549,-0.193547887
Gordon,10,-29.299999179,152.716666686
Slid,10,43.507315555,16.442996822
avenue,10,38.256236525,-76.767748355
Mayotte,10,-12.833327896,45.166665944
Oural,10,46.999995622,51.799999816
Seine-et-Marne,10,48.385967134,2.957216521
Hoa-Ninh,10,17.733328184,106.383328708
Ocean,10,,
Tombo,10,-14.099996995,-74.416666485
Ban,10,18.283327878,-70.333328332
Kassala,10,15.450986714,36.399976882
Done,10,1.665555504,13.753059021
Lisbonne,10,38.716667167,-9.13332759
Marie,10,31.899308625,-100.20897623
Martinique,10,14.666665813,-60.999995552
Bosnie,10,45.045868527,18.404017305
Moghreb,10,31.99999619,-4.999998872
Touareg,10,41.375746706,2.17391703
Vienne,10,48.208489383,16.372078615
Moscou,9,55.752218468,37.615557514
Senegal,9,,
Sud-Ouest,9,10.499999554,-3.199996601
Laon,9,49.566666861,3.616669003
Pingoin,9,24.149997282,95.916667997
Louvre,9,48.861016979,2.335866658
Grand,9,51.199999423,4.466666076
Timbres,9,-22.883798039,-47.069519713
Batavia,9,-6.214617726,106.845127229
Cdcile,9,5.377078151,-3.992497776
Elandslaagte,9,-30.999997824,26.466667343
Villeray,9,45.539776199,-73.624979738
Seine-et-Oise,9,49.001575506,2.096937861
Charlemagne,9,45.716776992,-73.482468384
Victoria,9,48.432938466,-123.369298532
Loire,9,29.109965645,-98.395569648
Champ-de-Mars,9,-20.164437349,57.50721687
Liou-Li-Ho,9,39.52305861,116.120559147
Ldon,9,48.002587654,2.537237289
Atlantique,9,40.641767338,-73.170668552
Jura,9,49.533018847,-120.452445868
Cavally,9,4.366665813,-7.53332807
Rennes,9,48.111977447,-1.674289989
Gambetta,9,35.701088763,-0.598246475
Buckley,9,53.166666905,-3.083326454
Turkestan,9,43.333329494,68.249995579
Saint-Nicolas,9,50.628365648,5.532428002
Nouvelle-Irlande,9,-2.999999485,151.499997151
Auvergne,8,35.513689392,-91.230679945
I',8,,
Chevreuse,8,48.70661768,2.033286509
Etats-Unis,8,,
Ranmadan,8,,
Saint-Gobain,8,49.595716283,3.377497226
Kimberley,8,-28.732257559,24.762317583
Ii,8,,
Saint-Simon,8,44.964916211,2.490895902
Trajan,8,49.479446601,8.598838396
Piotre,8,0.649995623,-77.783326235
Obi,8,42.086458639,-78.257786632
Allah,8,33.928088595,-112.690729126
Klondyke,8,32.835338064,-110.332308407
Macao,8,22.200558771,113.546108098
<,8,,
CORNUT,8,33.129566954,-94.574648208
Jaune,8,42.371976303,1.884669197
Unis,8,10.335426658,-61.272018913
Objectif,8,47.748958661,-3.361689752
Caire,8,30.062625608,31.249666409
Simeon,8,,
Revoy,8,58.016669526,7.016666294
Napoldon,8,13.893598413,122.923397477
Gourara,8,11.845299175,18.333099098
Californie,8,37.250215797,-119.75125959
^,8,,
Beyla,8,8.683326262,-8.633327459
Barcelone,8,41.388786549,2.158987354
Hongrie,8,46.999995622,19.999998681
r.,8,,
Saint-Malo,8,48.649999204,-2.016669107
Tarn,8,44.086697642,1.042609419
Gentil,8,13.766669177,-60.983329031
Baoutes,8,40.589756453,22.960519971
Age,8,42.418695657,1.947236145
Mirza,8,36.687279751,44.766808927
Sad,8,18.26471753,-72.648885854
Behanzin,8,7.184027806,2.009317136
Tronquoy,8,49.887596383,5.451358696
Inde,8,19.999997544,76.999995622
Pan-,8,,
Natalie,8,46.346937073,-85.577615586
Dorian,8,33.877175613,74.37397915
Danemark,8,55.999997981,9.99999606
French,8,36.474196659,-104.558317279
Lo,8,13.110699386,-3.404098489
Manille,8,14.604197856,120.982197735
Pao-Ting-Fou,7,,
Toulon,7,43.11666922,5.933328927
Ta,7,31.215918268,107.500917036
Oubangui,7,-0.510275917,17.706669186
Oran,7,35.691108649,-0.641667621
Johannesburg,7,-26.202267065,28.043628906
Voioi,7,56.549997675,27.849997589
Saint-Ricquier,7,,
Matupi,7,21.616668085,93.416667342
Sous,7,14.683327834,-16.266666092
Cherbourg,7,49.639839368,-1.61635763
Somme,7,52.583298172,-102.967649931
Krakatoa,7,-6.116665918,105.399999466
Plenger,7,56.783918418,47.910378473
Silence,7,46.396639663,11.024798121
Nord-,7,,
San-Yago,7,40.617986948,-4.031077352
Sibdrie,7,,
Autriche,7,47.333326043,13.333327267
Bah,7,26.869906923,78.594429136
Grand-Li,7,18.433326568,-72.583326672
Mathuisieulx,7,,
Do,7,8.191668391,-7.269997938
Emery,7,33.06977626,-110.017025885
Mdme,7,28.433225698,84.17351556
Serre,7,40.582507596,15.185547405
Evenos,7,40.853617539,25.914899305
Academie,7,41.170879885,-85.145797905
Tours,7,47.383325606,0.683329801
Kohat,7,33.58195681,71.44928818
Coran,7,36.359537834,-83.011547293
Etat,7,-8.731797857,122.36509602
Merakech,7,40.682286242,46.354299556
Moi,7,58.456739475,6.551839542
Atlantic-City,7,39.3642767,-74.422929929
Capitaine,7,-20.636386969,33.561106797
Rabot,7,51.095068734,3.656557963
Patrie,7,18.299998899,-73.433328244
Mouley-el-Hassan,7,,
II,7,36.249999554,52.33332849
Hannouka,7,19.633329582,-13.01666749
Mantes,7,48.983329625,1.716667605
Chasse,7,44.183326567,6.583327748
Shang-Hal,7,22.953607447,72.596416387
Seoonde,7,,
MM.,7,10.359787496,-84.50925739
TAisne,7,-23.565276066,34.916939983
Montmartre,7,50.233345701,-103.451046536
Porthos,7,-40.15408901,-71.349536156
Oliveira,7,-20.696389145,-44.82721569
Grande-Bretagne,7,54.758436654,-2.695307886
Grandidier,7,-65.583325973,-64.749998784
Franco,7,27.847395683,-106.542699689
Gerlache,7,-64.616667753,-64.18332807
Higer,7,43.394708548,-1.789286284
Nank-Tay,7,,
Rays,7,36.219775736,-85.326906833
Soci,7,43.599165904,39.725685765
Touat,7,27.565108733,-0.164237488
To,7,-10.499996951,-47.999996644
Ane,7,52.614169932,6.651388708
Amalia,7,36.94196615,-105.454448758
Peau-Rouge,7,43.297188701,-0.373936879
Nouvelle-,7,,
Ba,7,51.377949632,-2.359066223
Turquie,7,39.059005789,34.911549462
Joanne,6,48.113016855,-1.68035995
Fernando-Po,6,8.597779853,-13.019439244
Pluckett,6,50.943949644,-2.656638317
Madrid,6,40.416499328,-3.702557005
Emerin,6,50.594749131,3.001236115
Oceanie,6,,
Berlin,6,52.524366901,13.410526917
Singapour,6,1.366669526,103.799999947
Ho,6,6.600839057,0.471299616
Lapparent,6,49.700147516,-75.399248793
Ies,6,-20.199759215,-70.137136741
Eure,6,36.427378314,-76.853285765
Kouno,6,9.845726113,17.660719264
Jeanne,6,19.666667124,-73.383328681
Natacha,6,-13.906937126,38.092497191
Aveo,6,47.948506953,37.682156104
Vidra,6,44.260557714,26.169716193
Annam,6,15.952696693,120.856897354
Pair,6,50.441209256,5.401656107
Kadaref,6,,
Pan,6,7.033327179,8.999995798
Saints-,6,48.760657885,3.046448103
Cambodge,6,12.99999571,104.999998462
Gare,6,15.164029178,-10.884936656
Bourgogne,6,49.349619621,4.071106177
Angle-,6,,
Sassandra,6,4.949998549,-6.08332724
Fleuve,6,37.757496282,119.076108378
Villefranche,6,45.983328839,4.716668391
Ping-Nan,6,23.292877341,97.457965726
Ver,6,19.333327703,-96.666665567
Su,6,-9.86070718,124.283946245
Saint-Huberti,6,,
Hovas,6,57.61138599,11.939166482
Pan-Kiang,6,13.797149472,100.327356602
Isabella,6,,
Abyssinie,6,7.999998899,37.999998899
Alt,6,63.43865689,10.48366714
Dioka,6,14.863698829,-10.096399629
Lettres,6,44.435979147,26.084678239
Tan,6,10.533328097,106.41666625
Manche,6,-4.366667709,-79.749998216
Neva,6,46.798508002,-116.297649556
Blaisot,6,48.314158006,4.098607737
Takou,6,9.849159308,3.214679175
Catalogue,6,,
An-,6,19.783328271,94.033328621
In-Salah,6,27.196775918,2.479129446
Petites,6,,
Nora,6,59.519257189,15.03978734
Tinerkouk,6,29.770408039,0.48872657
littoral,6,3.99999785,9.99999606
Mte,6,-15.399999135,35.283328971
Celestes,6,-34.602886612,-58.38782885
Mouley-el-,6,-34.635189245,-58.607539853
Valentia,6,39.46974734,-0.377388073
Angra,6,-23.006668635,-44.318058871
Amdrique,6,,
Elbe,6,52.083329538,10.283326918
AtA,6,16.184106659,-3.716037808
Cendrecourt,6,47.843499771,5.926566027
Voilk,6,53.162968233,24.462378699
Franoe,6,62.908428442,17.847286208
Indo-Chine,6,-6.225119794,106.803807396
Aussi,6,55.75557967,37.619935625
