LOC,LAT,LON
(,,
Paris,48.856614,2.3522219
île,44.0648966,76.6412712
Amérique,54.5259614,-105.2551187
France,46.227638,2.213749
mer,47.699682,1.508414
Afrique,-8.783195,34.508523
Europe,54.5259614,15.2551187
Inde,20.593684,78.96288
Lagarto,-10.9140631,-37.6692901
détroit,42.331427,-83.0457538
Chine,35.86166,104.195397
Bengali,-20.1743477,57.5047664
Angleterre,52.3555177,-1.1743197
New,37.3105671,-89.5324749
Manche,49.114712,-1.3115949
Californie,36.778261,-119.4179324
Sorcière,,
Gustave,45.281101,-103.9752127
Marne,49.128754,4.1475445
San,13.2944016,-4.8987523
Guyane,3.933889,-53.125782
Artagnan,43.402926,0.077005
Nora,28.5562477,-81.3785854
Meuse,49.9216666,5.400522
Londres,51.5073509,-0.1277583
Océan,39.9652553,-74.3118212
Indes,13.7049929,-89.1957409
Océanie,-22.7359095,140.0187653
Japon,36.204824,138.252924
Bornéo,0.9618834,114.5548495
Asie,59.6864303,10.7930108
Pyrénées,42.6681804,1.0011899
Australie,-25.274398,133.775136
place,13.2222011,80.0949883
New-York,40.7127837,-74.0059413
Edgard,30.0432578,-90.5600869
Atlantique,40.6417665,-73.1706705
Espagne,40.463667,-3.74922
Calcutta,22.572646,88.363895
Pacifique,-8.783195,-124.508523
Industrie,-27.3836475,153.0322325
Russie,61.52401,105.318756
Hindoustan,20,78
Macao,22.198745,113.543873
—,,
États-Unis,37.09024,-95.712891
Cayenne,4.92242,-52.3134531
Santiago,-33.4488897,-70.6692655
Orne,48.6388567,0.0848201
Township,31.4501121,74.3088879
Neddy-Neddy,46.3245017,-79.4291019
Ohio,40.4172871,-82.907123
Tom,29.0731709,-98.0778904
Hollande,42.7875235,-86.1089301
Rhin,25.6716502,-100.3299438
Morbihan,47.8852929,-2.9001865
San-Francisco,37.7749295,-122.4194155
Monténégro,42.708678,19.37439
Loire,46.3325972,1.044527
Puy-de-Dôme,45.7725738,2.9644431
Tranquille,39.4000378,-76.6009301
Haute-Marne,48.1260968,5.1071322
Allemagne,51.165691,10.451526
Nancy,48.692054,6.184417
Hindou,,
Sa,-30.0002315,136.2091547
Meurthe-et-Moselle,48.7997007,6.0947014
Washington,47.7510741,-120.7401386
Algérie,28.033886,1.659626
Sibérie,61.0137097,99.1966559
Nièvre,47.2381708,3.5294522
Pyrénées-Orientales,42.6012912,2.539603
Bretagne,48.2020471,-2.9326435
Grand-Esprit,46.1814852,-72.4970219
Salvador,13.794185,-88.89653
Mississipi,32.3546679,-89.3985283
Orient,41.1389875,-72.303415
côtes,45.1243533,5.4696268
Ile,44.0648966,76.6412712
Khiva,41.3895075,60.3414529
Colorado,39.5500507,-105.7820674
Champagne,48.026628,0.333235
Basses-Pyrénées,43.3269942,-0.7532809
Véga,19.2211554,-70.5288753
Madrid,40.4167754,-3.7037902
Grand,40.0727382,-106.0640179
Sahara,23.4162027,25.66283
Italie,41.87194,12.56738
