ENT_ID	TYPE	TERM	KWIC
e2	"LOCATION"	"BnF"	"conditions de reutilisation . 4 / gallica constitue une base de donnees , dont la BNF est producteur , protegee au sens des articles l341-1 et suivants du code la "
e18	"LOCATION"	"Prix"	"7 libhairie illustreb 7 , rue dd cboissant , 7 1887 n ° 495- — PRIX : 15 centimes . — journal hebdomadaire — bureaux : 7 , rue du "
e19	"LOCATION"	"PARIS"	"centimes . — journal hebdomadaire — bureaux : 7 , rue du abonnemenls . — PARIS , 8 fr. — departements , 10 fr. — etranger , 12 fr. — "
e23	"LOCATION"	"Tristan"	"— les mangcur3 do fou . ( suite ) . — les faussos ploires : TRISTAN d' acunha . — curiosiuss do thistoiro naturoilo : les poissons sportsmen . — "
e24	"LOCATION"	"Acunha"	"mangcur3 do fou . ( suite ) . — les faussos ploires : tristan d' ACUNHA . — curiosiuss do thistoiro naturoilo : les poissons sportsmen . — actuality r "
e25	"LOCATION"	"CuriosiUSs"	". ( suite ) . — les faussos ploires : tristan d' acunha . — CURIOSIUSS do thistoiro naturoilo : les poissons sportsmen . — actuality r ( 5u » "
e26	"LOCATION"	"Thistoiro"	"suite ) . — les faussos ploires : tristan d' acunha . — curiosiuss do THISTOIRO naturoilo : les poissons sportsmen . — actuality r ( 5u » raphique5 : "
e28	"LOCATION"	"Lo"	"thistoiro naturoilo : les poissons sportsmen . — actuality r ( 5u » raphique5 : LO golfo persique , suso ct la susiano . — un drarne au cap de "
e29	"LOCATION"	"Persique"	": les poissons sportsmen . — actuality r ( 5u » raphique5 : lo golfo PERSIQUE , suso ct la susiano . — un drarne au cap de bonne-esp < "
e30	"LOCATION"	"Suso"	"poissons sportsmen . — actuality r ( 5u » raphique5 : lo golfo persique , SUSO ct la susiano . — un drarne au cap de bonne-esp < iranco ( "
e31	"LOCATION"	"Susiano"	"— actuality r ( 5u » raphique5 : lo golfo persique , suso ct la SUSIANO . — un drarne au cap de bonne-esp < iranco ( suite ) . "
e32	"LOCATION"	"Chroniquo"	"suite ) . — a travers lo raondo : mort ot ecs monuments . — CHRONIQUO des voyagbs et de la gdographie . illustkatiuns . — un episode tragiquo : "
e34	"LOCATION"	"Tristan"	"3 . la salle du conscil ( trois dessins ) . — l' ilo de TRISTAN d' aeuuha . — les man ^ ours do fou : danieloff fut iutroduit "
e35	"LOCATION"	"Aeuuha"	"la salle du conscil ( trois dessins ) . — l' ilo de tristan d' AEUUHA . — les man ^ ours do fou : danieloff fut iutroduit par barineft "
e37	"LOCATION"	"BarinefT"	"d' aeuuha . — les man ^ ours do fou : danieloff fut iutroduit par BARINEFT , — niort ot scs inonumunts : lo donjon . < article > prime "
e38	"LOCATION"	"Lo"	"do fou : danieloff fut iutroduit par barineft , — niort ot scs inonumunts : LO donjon . < article > prime exceptionnelle oft' lihte aux lectkurs du journal des "
e41	"LOCATION"	"SS"	"au prist reduit de so francs , prise dans ses bu- mux , et de SS franc ® , rendue franco & domicile , la collection d' ttn tres attacliaat "
e44	"LOCATION"	"Canada"	". un episode tragiqde le loup est un animal si commun dans le nord-ouest du CANADA , que je puis assurer n' avoir pas fait un seul voyage sans en "
e48	"LOCATION"	"Mackenzie"	"de ia rivi & re kkrayirut un gros affluent de la rive droite du fleuve MACKENZIE , k sa sortie du grand lac des eaclaves . je retournais d une "
e49	"LOCATION"	"Corne"	", ou etcha-ot- tint , peuplade quiektassedepuis les d6cli- vites de l & montagne la CORNE , jusqu' aux montagnes eacheuses , le temps 6tait fort doux , de sorte' "
e53	"LOCATION"	"Kkrayira"	"deloup tout autour du campe ¬ ment et jusque contra nos tgtesf lit de la KKRAYIRA pendant plus d' une lieue , mois nous ne les revimes pas , muintesfoisj' "
e56	"LOCATION"	"Bonne-EspSranoe"	"d' unlndien malade , h deux journ ^ esseulement de course au nord du fort BONNE-ESPSRANOE , dans ies steppes * mon serviteur , auguste 5ida-figdejla « appe ) 6 "
e59	"LOCATION"	"Kra"	"k 1 ' astre , k cette 6poque de l' ann6e , le nom de KRA + odatelte9 la fldche sanguinolente . pour ies indiens ^ ii est t encore "
e61	"LOCATION"	"Tecar-"	"trois et de la plus belle taille , k en juger par la largeur et TECAR- temenl des empreintes. lis avaient suivi notre sentier pendant la nuit , et tent6 "
