ENT_ID	TYPE	TERM	KWIC
e2	"LOCATION"	"BnF"	"conditions de réutilisation . 4 / gallica constitue une base de données , dont la BNF est producteur , protégée au sens des articles l341-1 et suivants du code la "
e19	"LOCATION"	"Mieux"	"connais-tu , friquet ? — la mitrailleuse , n' est-ce pas , pierre ? — MIEUX que ca , mou fi c' est une nouveile invention « flambarde » encore "
e20	"LOCATION"	"Hot-chkiss"	"fi c' est une nouveile invention « flambarde » encore . on appelle ça le HOT-CHKISS , autrement dit canon-revolver . — hotchkiss ... kisal ... kiss ! joli nom "
e21	"LOCATION"	"Hotchkiss"	"flambarde » encore . on appelle ça le hot-chkiss , autrement dit canon-revolver . — HOTCHKISS ... kisal ... kiss ! joli nom pour faire battra les chiens . — "
e22	"LOCATION"	"Bernéo"	", dit-il en malais à drux dyacks qui conduisaient à la rame un rao de BERNÉO , coupe ferme à l' aviron . la lagère embarcation indigène , bien que "
e23	"LOCATION"	"Amérique"	"le rameurs , bondil sur les dots murs comme ceux de certaines rivières de l' AMÉRIQUE du sud . les passagers sont par conséquent au nombre de cinq , dont "
e23	"LOCATION"	"Amérique"	"le rameurs , bondil sur les dots murs comme ceux de certaines rivières de l' AMÉRIQUE du sud . les passagers sont par conséquent au nombre de cinq , dont rameurs , bondil sur les dots murs comme ceux de certaines rivières de l' amérique DU sud . les passagers sont par conséquent au nombre de cinq , dont quatre "
e23	"LOCATION"	"Amérique"	"le rameurs , bondil sur les dots murs comme ceux de certaines rivières de l' AMÉRIQUE du sud . les passagers sont par conséquent au nombre de cinq , dont rameurs , bondil sur les dots murs comme ceux de certaines rivières de l' amérique DU sud . les passagers sont par conséquent au nombre de cinq , dont quatre , bondil sur les dots murs comme ceux de certaines rivières de l' amérique du SUD . les passagers sont par conséquent au nombre de cinq , dont quatre européens "
e24	"LOCATION"	"Jaune"	"volumineuses cartou- chières , aux flues rebondis , sont accrochées à leur ceinturon de cuir JAUNE , soutenant également un étui à révolver , et un large contelnê légèrement recourb "
e26	"LOCATION"	"Canneblère"	", et disons la cinquantine . mais , le docteur lamper-rière , marselliais comme la CANNEBLÈRE , supporte le fardeau de ce demi -siècle avec une désinvolture qu' envieraient bien "
e28	"LOCATION"	"Sumatra"	"bastide dans sa poche et s' en est tranquillement allé planter ses choux ... à SUMATRA , en compagnie de son ami andré brévannet . ce dernier qui commande l' "
e30	"LOCATION"	"Paris"	"qu' il ne soit pas besoin d' un nouveau portrait de friquet. le gamin de PARIS , et de pierre le gall , son matelot , le vieux breton du "
e31	"LOCATION"	"Pierre"	"pas besoin d' un nouveau portrait de friquet. le gamin de paris , et de PIERRE le gall , son matelot , le vieux breton du conquet . le cinquième "
e34	"LOCATION"	"Ta"	"... toi toujours pressé courl . moi-même pus pressé courl et arrivé toujours . — TA carabine est-elle chargée , au moins ? — penh ! moi-même maladroit trop fort "
e35	"LOCATION"	"Penh"	"courl et arrivé toujours . — ta carabine est-elle chargée , au moins ? — PENH ! moi-même maladroit trop fort . tout- à-l' heur prend ' z ' hache "
e36	"LOCATION"	"Jolie"	"bossuent l' épiderme luisant de ses bras . — moi-même trouvé toujou massue . — JOLIE invention que ton gourdin , bon tout au plus pour les osyéb' as , "
e39	"LOCATION"	"Ogàoni"	"bien la peine de t' avoir arraché à l' esclavage sur les bord- de l' OGÀONI , de t' avoir amené en franco , alla de t' aimer comme mon "
e40	"LOCATION"	"Franco"	"à l' esclavage sur les bord- de l' ogàoni , de t' avoir amené en FRANCO , alla de t' aimer comme mon frère , comme un grand enfant . "
e41	"LOCATION"	"Silence"	", alla de t' aimer comme mon frère , comme un grand enfant . — SILENCE , reprit andré . a vos postes , voie ! l' ennemi . les "
e43	"LOCATION"	"Immobiles"	"l' ennemi . les quatre européens s' accroupissent dans le prao , et se tiennent IMMOBILES , les yeux au ras du bordage , la carabine en avant , prêts "
e49	"LOCATION"	"Union-Jack"	"... de plaisance comme destination , et de nationalité anglaise . n' apercevez-vous pas l' UNION-JACK à sa corne d' artimon , et la flamme du yachting h un grand "
e50	"LOCATION"	"Yachting"	"n' apercevez-vous pas l' union-jack à sa corne d' artimon , et la flamme du YACHTING h un grand mût ? — encore un qui manque à sa destination , "
e55	"LOCATION"	"Côrablne"	"de la voix . andré hèle le yacht . un homme , arme d' une CÔRABLNE , appfrrait au-dessus de ia lisse . — veuilles , lui cria le jeune "
e56	"LOCATION"	"Ia"	"hèle le yacht . un homme , arme d' une côrablne , appfrrait au-dessus de IA lisse . — veuilles , lui cria le jeune homme nous lancer des amarres "
e57	"LOCATION"	"Veuilles"	"un homme , arme d' une côrablne , appfrrait au-dessus de ia lisse . — VEUILLES , lui cria le jeune homme nous lancer des amarres , que nous montions "
e58	"LOCATION"	"Ia"	"échelle de tri-bord . le lourd appareil glisse aussitôt et sa plate-forme inférieure vient affleurer IA surface de la mer . — allons , majesté , embarque 1 fait brièvement "
e59	"LOCATION"	"André"	"ia surface de la mer . — allons , majesté , embarque 1 fait brièvement ANDRÉ . le noir saisit son sac , sa carabine , et en deux bonds "
e62	"LOCATION"	"André"	"quelques mots en langue malaise aux dyaks qui abandonnent sans observation leur pirogue dans laquelle ANDRÉ reste seul . il la pousse jusqu' à la plate-forme , monte sur la "
e63	"LOCATION"	"Los"	", un gentleman à barbe prise autour duquel se tiennent déjà les nouveaux venus . LOS màlais , épouvamés , s' arrêtent , hors de la portée de ces armes "
e63	"LOCATION"	"Los"	", un gentleman à barbe prise autour duquel se tiennent déjà les nouveaux venus . LOS màlais , épouvamés , s' arrêtent , hors de la portée de ces armes un gentleman à barbe prise autour duquel se tiennent déjà les nouveaux venus . los MÀLAIS , épouvamés , s' arrêtent , hors de la portée de ces armes terribles "
e67	"LOCATION"	"Manche"	"dépit du péril qui menace , le français connaît trop bien les usages d' outre MANCHE pour omettre l' indispensable formalité de la présentation . elle s' opère suivant le "
e68	"LOCATION"	"Royaume-Uni"	"cérémonial ordinaire , sans la moindre précipitation et avec cette gravité que le citoyen du ROYAUME-UNI apporte dans ses actes extérieurs de la vie. l' anglais s' en vient serrer "
e70	"LOCATION"	"Concwdia"	"se nomme sir henry parkes , proprétaire et capitaine tout à la fois du yacht CONCWDIA . la proximité des pirates empêche de plus longues confidences . le cercle menaçant "
e72	"LOCATION"	"Union-Jack"	"nous serons dignes de l' honneur que vous nous faites . nous vivants , l' UNION-JACK ne quittera pas la corne d artimon . « maitre pierre , l' artillerie "
e77	"LOCATION"	"Spa-redeck"	"— que veux-tu dire ? — il s' agirait simplement de semer sur le « SPA-REDECK » quelques bonnes chausses-trappes qui mettraient en loques les pieds de ces magots au "
e78	"LOCATION"	"Cliequot"	"de même nature . en un clin d' oeil les caisses sont éventrées . — CLIEQUOT numéro un ... vermuth de turin ... pôle ale bass and c ° ... "
e79	"LOCATION"	"Turin"	"clin d' oeil les caisses sont éventrées . — cliequot numéro un ... vermuth de TURIN ... pôle ale bass and c ° ... bordeaux de tons crus ... ; "
e92	"LOCATION"	"André"	"cinq cents autour du bateau . — feu ! maître pierre ; feu ! rugit ANDRÉ . la mitraille trace au milieu des torses de bronze un sillon sanglant . "
e95	"LOCATION"	"«"	"qui a compris . nous allons santer , n' est-il pas vrai ! .. . « vive l' angleterre et vive ... — vive la france ! .. . riposte "
e95	"LOCATION"	"«"	"qui a compris . nous allons santer , n' est-il pas vrai ! .. . « vive l' angleterre et vive ... — vive la france ! .. . riposte a compris . nous allons santer , n' est-il pas vrai ! .. . « VIVE l' angleterre et vive ... — vive la france ! .. . riposte le "
e96	"LOCATION"	"Angleterre"	". nous allons santer , n' est-il pas vrai ! .. . « vive l' ANGLETERRE et vive ... — vive la france ! .. . riposte le digne gentleman "
e97	"LOCATION"	"Vive"	"n' est-il pas vrai ! .. . « vive l' angleterre et vive ... — VIVE la france ! .. . riposte le digne gentleman . et comme andré se "
e98	"LOCATION"	"France"	"pas vrai ! .. . « vive l' angleterre et vive ... — vive la FRANCE ! .. . riposte le digne gentleman . et comme andré se découvrait devant "
e104	"LOCATION"	"Pierre"	"friquet et ses aides ont brisé des flacons d' alcool . la deruière décharge de PIERRE à , sans doute , enflammé la substance incendiaire , et maintenant la concordia "
e105	"LOCATION"	"Concordia"	"de pierre à , sans doute , enflammé la substance incendiaire , et maintenant la CONCORDIA , enlourée de la meute hurlante , va devenir la proie dés flammes . "
e108	"LOCATION"	"Bornéo"	"le sacrifice de nos existences n' est rien , déclarer la guerre au sultan de BORNÉO ! l. boussenard . < / article > lire la suite dans le numéro "
e110	"LOCATION"	"MM."	"peuples du globe , émanant des écrivains spéciaux les plus justement renommés , tels que MM. paul du chaillu , stanley , mayne-reid , b.-h. révoil , jules gros , "
e110	"LOCATION"	"MM."	"peuples du globe , émanant des écrivains spéciaux les plus justement renommés , tels que MM. paul du chaillu , stanley , mayne-reid , b.-h. révoil , jules gros , du globe , émanant des écrivains spéciaux les plus justement renommés , tels que mm. PAUL du chaillu , stanley , mayne-reid , b.-h. révoil , jules gros , l. "
e111	"LOCATION"	"Chaillu"	", émanant des écrivains spéciaux les plus justement renommés , tels que mm. paul du CHAILLU , stanley , mayne-reid , b.-h. révoil , jules gros , l. bous-enard , "
e112	"LOCATION"	"Stanley"	"des écrivains spéciaux les plus justement renommés , tels que mm. paul du chaillu , STANLEY , mayne-reid , b.-h. révoil , jules gros , l. bous-enard , pertuiset , "
e113	"LOCATION"	"Mayne-Reid"	"spéciaux les plus justement renommés , tels que mm. paul du chaillu , stanley , MAYNE-REID , b.-h. révoil , jules gros , l. bous-enard , pertuiset , gabriel ferry "
e117	"LOCATION"	"Paris"	"prix d' abonnement pour un an au journal des voyages est de 8 francs pour PARIS et de 10 francs pour les déparlements . en vente chez tous les libraires "
e118	"LOCATION"	"Paris"	"et de 10 francs pour les déparlements . en vente chez tous les libraires de PARIS et des départements en vente chez tous les libraires de paris et des departments "
