ENT_ID	TYPE	TERM	KWIC
e4	"LOCATION"	"BnF"	"conditions de réutilisation . 4 / gallica constitue une base de données , dont la BNF est producteur , protégée au sens des articles l341-1 et suivants du code la "
e17	"LOCATION"	"Paris"	"— journal hebdomadaire — bureaux : 7 , rue du croissant . abonnements . — PARIS , 8 fr. — départements , 10 fr. — étranger , 12 fr. — "
e18	"LOCATION"	"Départements"	": 7 , rue du croissant . abonnements . — paris , 8 fr. — DÉPARTEMENTS , 10 fr. — étranger , 12 fr. — dimanche 6 janvier 1884 texte "
e19	"LOCATION"	"Étranger"	"croissant . abonnements . — paris , 8 fr. — départements , 10 fr. — ÉTRANGER , 12 fr. — dimanche 6 janvier 1884 texte . — la chasse aux "
e20	"LOCATION"	"Basse-Cochinchine"	"fr. — dimanche 6 janvier 1884 texte . — la chasse aux singes dans la BASSE-COCHINCHINE . — le coq rouge , aventures de deux petites parisiennes en russie ( "
e22	"LOCATION"	"Parisiennes"	"aux singes dans la basse-cochinchine . — le coq rouge , aventures de deux petites PARISIENNES en russie ( suite ) . — les drames de l' afrique australe ( "
e23	"LOCATION"	"Russie"	"dans la basse-cochinchine . — le coq rouge , aventures de deux petites parisiennes en RUSSIE ( suite ) . — les drames de l' afrique australe ( suite ) "
e24	"LOCATION"	"Afrique"	"de deux petites parisiennes en russie ( suite ) . — les drames de l' AFRIQUE australe ( suite ) . — assassinat de mlle tinné par les touarogs . "
e26	"LOCATION"	"Jacques"	"tinné par les touarogs . — les robinsons marseillais ( suite ) : paresse de JACQUES débarquement des charrettes : vins ot victuailles ; à table ; la croix du "
e28	"LOCATION"	"Chronique"	". — , voyages et découvertes dans les régions polaires ( suite ) . — CHRONIQUE des voyages ot de la géographie . illustrations . — chasse aux singes dans "
e29	"LOCATION"	"Chasse"	"suite ) . — chronique des voyages ot de la géographie . illustrations . — CHASSE aux singes dans la basse-cochinchine : alora commence une scène indescriptible , chaque singe "
e30	"LOCATION"	"Basse-Cochinchine"	"des voyages ot de la géographie . illustrations . — chasse aux singes dans la BASSE-COCHINCHINE : alora commence une scène indescriptible , chaque singe ... — les drames de "
e31	"LOCATION"	"Alora"	"ot de la géographie . illustrations . — chasse aux singes dans la basse-cochinchine : ALORA commence une scène indescriptible , chaque singe ... — les drames de l' afrique "
e32	"LOCATION"	"Afrique"	": alora commence une scène indescriptible , chaque singe ... — les drames de l' AFRIQUE australe : assez de potage à l' eau de feu , s' écria james "
e34	"LOCATION"	"Mlle"	"de potage à l' eau de feu , s' écria james willis — assassinat do MLLE tinné par les touaregs ; mlle tinné s' affaissa sur le sol . — "
e34	"LOCATION"	"Mlle"	"de potage à l' eau de feu , s' écria james willis — assassinat do MLLE tinné par les touaregs ; mlle tinné s' affaissa sur le sol . — potage à l' eau de feu , s' écria james willis — assassinat do mlle TINNÉ par les touaregs ; mlle tinné s' affaissa sur le sol . — les "
e36	"LOCATION"	"Joannès"	"marseillais : nos marchandises de bouche sont bien à l' abri maintenant ! dit joyeusement JOANNÈS . chasse aux singes , dans la basse-coechinchine . — alors commence une scène "
e37	"LOCATION"	"Basse-Coechinchine"	"à l' abri maintenant ! dit joyeusement joannès . chasse aux singes , dans la BASSE-COECHINCHINE . — alors commence une scène indescriptible , chaque singe ... p. 2 , "
e38	"LOCATION"	"Indo-Chine"	". les singes et les babouins sont sans contredit les plus nombreux mammifères de l' INDO-CHINE , les animaux de nature lmitative et grotesque se multiplient à mesure que l' "
e39	"LOCATION"	"Malacca"	"approche de l' équateur . en effet , c' est dans la presqu' île de MALACCA que l' on rencontre les gibbons à longs bras et , plus' au sud "
e40	"LOCATION"	"Bornéo"	"que l' on rencontre les gibbons à longs bras et , plus' au sud , BORNÉO a été surnommé à juste titre par richard wallace « la patrie de l' "
e43	"LOCATION"	"Cochinchine"	"debout . a ces caractères dietinctifs on reconnaît les doues , qui dominent dans la COCHINCHINE . ils participent du singe , du babouin et de la guenon le nombre "
e45	"LOCATION"	"Banian"	"annamites et bordent les arroyos : le mangoustanier , le manguier , le figuier de BANIAN , le jaquier , le pommier d' acajou , le goyavier , le bananier "
e46	"LOCATION"	"Cochinchine"	"le myte qui montre les fruits les plus gros . les ananas abondent aussi en COCHINCHINE . mais nos singes doues quand ils sont bien repus se divertissent de préférence "
e48	"LOCATION"	"Chantaboun"	"singes . henri mouhot à vu un grand nombre de crocodiles dans la rivière de CHANTABOUN , qui se jette dans le golfe de siam , et il s' est "
e49	"LOCATION"	"Siam"	"de crocodiles dans la rivière de chantaboun , qui se jette dans le golfe de SIAM , et il s' est fort diverti de la manière dont ces amphibiës attrapent "
e51	"LOCATION"	"Louise"	"_ rquge aventures de deux petites parisiennes en russie ¹ xii on sait maintenant pourquoi LOUISE et marie n' avaient plus entendu parler de leur mère depuis qu' elle les "
e52	"LOCATION"	"Marie"	"aventures de deux petites parisiennes en russie ¹ xii on sait maintenant pourquoi louise et MARIE n' avaient plus entendu parler de leur mère depuis qu' elle les avait quittées "
e53	"LOCATION"	"Wirballen"	"n' avaient plus entendu parler de leur mère depuis qu' elle les avait quittées à WIRBALLEN , les yeux pleins de larmes , mais avec des consolantes paroles et en "
e54	"LOCATION"	"Dunabourg"	". on comprend aussi que les recherches des jeunes filles lors de leur passage à DUNABOURG eussent été si peu décisives . le lieutenant gabriloff croyait tenir une indication utile "
