	ENT_ID	TYPE	TERM	KWIC	source_year
0	e2	LOCATION	Image	. charaire journal et des aventures de terre et de mer tome v1ngt-huitieme . < IMAGE > < / image > janvier a juin 1891 7 paris a la librairie 	1891-1
1	e11	LOCATION	SainUJoseph	prix 15 centimes . -- journal hebdomadaire — bureaux- : . . 8 , rue SAINUJOSEPH . ; abonnemonts . — paris et seine . 8 fr. -- departements , 	1891-1
2	e12	LOCATION	Abonnemonts	. -- journal hebdomadaire — bureaux- : . . 8 , rue sainujoseph . ; ABONNEMONTS . — paris et seine . 8 fr. -- departements , 10 fr ; 	1891-1
3	e13	LOCATION	PARIS	hebdomadaire — bureaux- : . . 8 , rue sainujoseph . ; abonnemonts . — PARIS et seine . 8 fr. -- departements , 10 fr ; — r -stranger 	1891-1
4	e16	LOCATION	Image	10 fr ; — r -stranger , 12 fr. — dinaancbe-4 janvier 1891 . < IMAGE > < / image > text © . — c .. amftno : les 	1891-1
5	e19	LOCATION	Guatemala	"suite ) , . f- r .. pa £ l  : la ville de GUATEMALA . t- . e / dillaye flesamillions du-marsoiiin ( suite ) . "" . """	1891-1
6	e21	LOCATION	J.-KKRVADKC	". t- . e / dillaye flesamillions du-marsoiiin ( suite ) .  . — J.-KKRVADKC - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la """	1891-1
7	e23	LOCATION	LesRavageurs	" . — j.-kkrvadkc - : benediction de. lavmer . . l. jacoluot . : LESRAVAGEURS -de la mer ( suite ) . — g .. tomeit : , voyage """	1891-1
8	e24	LOCATION	Mer	j.-kkrvadkc - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la MER ( suite ) . — g .. tomeit : , voyage au polevnord en 	1891-1
9	e24	LOCATION	Mer	j.-kkrvadkc - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la MER ( suite ) . — g .. tomeit : , voyage au polevnord en - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la mer ( suite ) . — g .. tomeit : , voyage au polevnord en ballon 	1891-1
10	e24	LOCATION	Mer	j.-kkrvadkc - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la MER ( suite ) . — g .. tomeit : , voyage au polevnord en - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la mer ( suite ) . — g .. tomeit : , voyage au polevnord en ballon : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la mer ( SUITE ) . — g .. tomeit : , voyage au polevnord en ballon . 	1891-1
11	e24	LOCATION	Mer	j.-kkrvadkc - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la MER ( suite ) . — g .. tomeit : , voyage au polevnord en - : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la mer ( suite ) . — g .. tomeit : , voyage au polevnord en ballon : benediction de. lavmer . . l. jacoluot . : lesravageurs -de la mer ( SUITE ) . — g .. tomeit : , voyage au polevnord en ballon . benediction de. lavmer . . l. jacoluot . : lesravageurs -de la mer ( suite ) . — g .. tomeit : , voyage au polevnord en ballon . — 	1891-1
12	e25	LOCATION	Chronique	"— nos colonies . - — missions et explorations.- — l £ migration . — CHRONIQUE des voyages ? . - - --  _ > v. - v-j llustrations """	1891-1
13	e26	LOCATION	V-J	". — chronique des voyages ? . - - --  _ > v. - V-J llustrations . — les gitanos despiagne : . alors carmensqvance guatemala vue generals de """	1891-1
14	e27	LOCATION	Voyage	"de la-ville . latbenediction. de la mer : aussitdt. nos gaillards.se- precipitent-k la-mer . — VOYAGE au pole nord en ballon laerostet pendant la  tra- versee . trace de """	1891-1
15	e31	LOCATION	(	_ t „ r , les > gitanos d espagne . — alors carmenyavance . ( page 3 , cul . 3 : ) 704 < article > -avis aux 	1891-1
16	e31	LOCATION	(	_ t „ r , les > gitanos d espagne . — alors carmenyavance . ( page 3 , cul . 3 : ) 704 < article > -avis aux t „ r , les > gitanos d espagne . — alors carmenyavance . ( PAGE 3 , cul . 3 : ) 704 < article > -avis aux : 	1891-1
17	e31	LOCATION	(	_ t „ r , les > gitanos d espagne . — alors carmenyavance . ( page 3 , cul . 3 : ) 704 < article > -avis aux t „ r , les > gitanos d espagne . — alors carmenyavance . ( PAGE 3 , cul . 3 : ) 704 < article > -avis aux : „ r , les > gitanos d espagne . — alors carmenyavance . ( page 3 , cul . 3 : ) 704 < article > -avis aux : llgteurs 	1891-1
18	e32	LOCATION	VOYAGES-	"-avis aux : llgteurs les succfcs qnont obtenu les romans insergs-dans ie journal des  VOYAGES- , c t la difisirexprim6 par nombre de nos lec- teurs nous ont .encourages """	1891-1
19	e38	LOCATION	Tlinaginatlon	ft faire. lei , a m | s one veritable competence maritime an service de TLINAGINATLON la plus fticonde . . x cit6. de ces deux volumes , intgres- . 	1891-1
20	e41	LOCATION	place	aussi , nos abounds , iiou » saiiront-ihrgr6 davoirfalt : ft cettb . oeuvre la PLACE / quelle irieritalt h tous £ gar < ls daris la : / .. 	1891-1
21	e41	LOCATION	place	aussi , nos abounds , iiou » saiiront-ihrgr6 davoirfalt : ft cettb . oeuvre la PLACE / quelle irieritalt h tous £ gar < ls daris la : / .. , nos abounds , iiou » saiiront-ihrgr6 davoirfalt : ft cettb . oeuvre la place / quelle irieritalt h tous £ gar < ls daris la : / .. - 	1891-1
22	e41	LOCATION	place	aussi , nos abounds , iiou » saiiront-ihrgr6 davoirfalt : ft cettb . oeuvre la PLACE / quelle irieritalt h tous £ gar < ls daris la : / .. , nos abounds , iiou » saiiront-ihrgr6 davoirfalt : ft cettb . oeuvre la place / quelle irieritalt h tous £ gar < ls daris la : / .. - nos abounds , iiou » saiiront-ihrgr6 davoirfalt : ft cettb . oeuvre la place / QUELLE irieritalt h tous £ gar < ls daris la : / .. - / 	1891-1
23	e43	LOCATION	BiBUOTHEOUE	/ z. / bifiuotlftqlie tlpubfflali de voyages ; - : la collection , de ia BIBUOTHEOUE / . do .journal.des vovages pourra. corirme , ie i . jootnal des- voyages 	1891-1
24	e48	LOCATION	Ia	"pour lerecevoir franco ; 11 suflira da- dresser , aux bureaux / dii jonrnal / IA somme enmandats on en tlmbres-poste : i  les nomades "" v "" .. """	1891-1
25	e50	LOCATION	Espagne	"i  les nomades "" v "" .. les rtanqstdespagne . ii y a eii ESPAGNE . - vivant , en. marge : de la spci6t6 , tout un mohde.abandqnnis """	1891-1
26	e51	LOCATION	Jiga	"mosiirs p.nt donne  / lieu "" k. ilitt6ratui % picaresque [ depicaro6 % : JIGA ; tah6s , "" qttisofit ; l6sboh6mieiis de lap6riin- sul ; - tinneeli ; """	1891-1
27	e52	LOCATION	Gitaria	baiangant ¦ sur des jambes ahkylosees , h6ronniepesi . - ou de : la premiere GITARIA dge milr ; agr6ment6e de bouejes. dpreilles durie ; orfevrerie fantasque , dardaint sur 	1891-1
28	e53	LOCATION	Leurk	"destinfif &  ( ieveiiir . ie / / .s6jpuir pr6f6r6 des boh6mieris . / LEURK cafayanesjaprs-avoir.erreveh prance , pkssiireht les- irionts , s6tabiissdnt. h. murcie , : aux "" """	1891-1
29	e54	LOCATION	Prance	" ( ieveiiir . ie / / .s6jpuir pr6f6r6 des boh6mieris . / leurk cafayanesjaprs-avoir.erreveh PRANCE , pkssiireht les- irionts , s6tabiissdnt. h. murcie , : aux "" environs de """	1891-1
30	e55	LOCATION	Murcie	"pr6f6r6 des boh6mieris . / leurk cafayanesjaprs-avoir.erreveh prance , pkssiireht les- irionts , s6tabiissdnt. h. MURCIE , : aux  environs de cordoue et do . konba . de lot """	1891-1
31	e56	LOCATION	Cordoue	"prance , pkssiireht les- irionts , s6tabiissdnt. h. murcie , : aux  environs de CORDOUE et do . konba . de lot , ils allaient exploiter lint6- / rieur """	1891-1
32	e57	LOCATION	Portugal	"exploiter lint6- / rieur du / pays , poussant des. pointes jus- . _ quen PORTUGAL , - ou on leur dorinaje .riom y de ciganos .  > ; """	1891-1
33	e58	LOCATION	Ciganos	"pointes jus- . _ quen portugal , - ou on leur dorinaje .riom y de CIGANOS .  > ; -ils paraissaiefit. sur-ies marches ; pre- ; naieiit part aux """	1891-1
34	e59	LOCATION	Icis	"-ils paraissaiefit. sur-ies marches ; pre- ; naieiit part aux  fiefeririagesj / suivaiefit "" ICIS , iiepr6sehlati6nsdautos mcramentales ] . - ihftiaiehit .efiflfi fi .toutds- les . mies ipou """	1891-1
35	e60	LOCATION	IHftiaiehit	"naieiit part aux  fiefeririagesj / suivaiefit "" icis , iiepr6sehlati6nsdautos mcramentales ] . - IHFTIAIEHIT .efiflfi fi .toutds- les . mies ipou "" : laires. lis ayaient , - """	1891-1
36	e62	LOCATION	Ies	".  / accuses demagie , les gitaiios figurerent / / pliis dune fois sur IES bticliers / allumes par ilnquisition a madrid , a seville , a vahadolid , """	1891-1
37	e63	LOCATION	Madrid	gitaiios figurerent / / pliis dune fois sur ies bticliers / allumes par ilnquisition a MADRID , a seville , a vahadolid , en compaguie de maures et dejuifs ; 	1891-1
38	e64	LOCATION	Seville	/ pliis dune fois sur ies bticliers / allumes par ilnquisition a madrid , a SEVILLE , a vahadolid , en compaguie de maures et dejuifs ; : le saint-office 	1891-1
39	e65	LOCATION	Maures	allumes par ilnquisition a madrid , a seville , a vahadolid , en compaguie de MAURES et dejuifs ; : le saint-office vitla fin lies maures et „ 6claircit les 	1891-1
40	e66	LOCATION	Maures	vahadolid , en compaguie de maures et dejuifs ; : le saint-office vitla fin lies MAURES et „ 6claircit les rahgs des juifs , mais.les gitaiios , pius tenaces , 	1891-1
41	e68	LOCATION	Lancienhe	"ii passa partire : iiade ioclatlirait lalha mbra. pt le , g6n6-. ralife . - LANCIENHE  residence des rois- - maures nest unie par ciiemin de fer a "" """	1891-1
42	e69	LOCATION	Maures	"lalha mbra. pt le , g6n6-. ralife . - lancienhe  residence des rois- - MAURES nest unie par ciiemin de fer a "" aucune ville-importante , i elle vit """	1891-1
43	e70	LOCATION	Ils	> : . . ses amis lui pr6paraient une occasion ; de sdtbriner . / ILS le cpnduisirent dans le faubourg montue.ux de ialbaycin , ou les. rues ressemblent a 	1891-1
44	e71	LOCATION	Gitanos	torrents , ou & des senders creuses dans le roc . c6tait le quartier des GITANOS . . m. de amicis. sufjirit-ceux-ci daiis ide y6ritables tanieres cfeusdes daris la terre 	1891-1
45	e72	LOCATION	Amicis.	senders creuses dans le roc . c6tait le quartier des gitanos . . m. de AMICIS. sufjirit-ceux-ci daiis ide y6ritables tanieres cfeusdes daris la terre , .avec un bout , 	1891-1
46	e74	LOCATION	Cetteparole.fut.accu	". una pecetd pdratodost : - - ;  , , ... ; » ; CETTEPAROLE.FUT.ACCU , general .. approbation : i } una peceta. para toosja franc pour tousl- """	1891-1
47	e75	LOCATION	Una	" , , ... ; » ; cetteparole.fut.accu , general .. approbation : i } UNA peceta. para toosja franc pour tousl- » ; > / . "" ( test """	1891-1
48	e76	LOCATION	M.-de	; eritre- les- doigts crochusi djune 1 / vieille au nez poiritu , : que M.-DE / aniicis rerni t-japidce ; blanche , - et , en rretouiy elie luiprit 	1891-1
49	e77	LOCATION	Aniicis	les- doigts crochusi djune 1 / vieille au nez poiritu , : que m.-de / ANIICIS rerni t-japidce ; blanche , - et , en rretouiy elie luiprit lamaih et 	1891-1
50	e78	LOCATION	Stranger	". . , v , mais < ( . -la nouyelle de 1-arriye dun / STRANGER , .s6tai.t . rspandue , . les , tribus s6taient hiises  enmouvement , """	1891-1
51	e79	LOCATION	Vp	"faux- estropies , - des / prpphetesses- ; . , septuaigeri  aijes qui ; VP , ulain t dire la bonne "" aventure . » "" . ianuii . """	1891-1
52	e81	LOCATION	Cestr	"viuej  c6mme dsj6cbliers j ; , . > . > ; ; . - CESTR aussi i "" .. grenade . et. au sacro-v monte queigustaye dor6 et .son """	1891-1
53	e82	LOCATION	Da	"aussi i  .. grenade . et. au sacro-v monte queigustaye dor6 et .son ami DA ; ; villier ; sarrfitdrnt devant . _ deu petite ? , ; gitanes """	1891-1
